id,date_start,period_type,title,is_infl_rate,cmt,parent_id,previous_id,base_type_code
147324651,2022-09-20 00:00:00,1,192 индекс/дополнение 65 (мониторинг Сентябрь 2022),1,,146854452.0,146854452.0,TSN
147319208,2022-09-19 00:00:00,1,38 индекс/оборудование доп. 33 (мониторинг Сентябрь 2022),1,,147302953.0,146918817.0,TSN
147305823,2022-09-05 00:00:00,1,Дополнение 66,0,,146854452.0,50121603.0,TSN
147302953,2022-09-01 00:00:00,1,Оборудование (Глава 13-2)/дополнение 33,0,,50121604.0,50121604.0,TSN
147218551,2022-08-15 00:00:00,1,Мониторинг Август 2022 (191 сборник/дополнение 65),0,,147107377.0,147107377.0,TSN
147107377,2022-07-18 00:00:00,1,Мониторинг Июль 2022 (190 сборник/дополнение 65),0,,50121603.0,146702297.0,TSN
146918817,2022-08-17 00:00:00,1,37 индекс/оборудование доп. 32 (мониторинг Август 2022),1,,146092209.0,146092209.0,TSN
146854452,2022-08-17 00:00:00,1,191 индекс/дополнение 65 (мониторинг Август 2022),1,,146097719.0,146097719.0,TSN
146702297,2022-06-20 00:00:00,1,Мониторинг Июнь 2022 (189 сборник/дополнение 64),0,,146638423.0,146638423.0,TSN
146638423,2022-05-19 00:00:00,1,Мониторинг Май 2022 (188 сборник/дополнение 64),0,,146569527.0,146569527.0,TSN
146569527,2022-04-18 00:00:00,1,Мониторинг Апрель 2022 (187 сборник/дополнение 64),1,,146490196.0,146490196.0,TSN
146490196,2022-03-21 00:00:00,1,Мониторинг Март 2022 (187 сборник/дополнение 64),1,,49837018.0,146414393.0,TSN
146414393,2022-02-21 00:00:00,1,Мониторинг Февраль 2022 (186 сборник/дополнение 63),1,,146305974.0,146305974.0,TSN
146305974,2022-01-19 00:00:00,1,Мониторинг Январь 2022 (185 сборник/дополнение 63),1,,49687789.0,49687789.0,TSN
146097719,2022-07-20 00:00:00,1,190 индекс/дополнение 65 (мониторинг Июль 2022),1,,50121603.0,50125138.0,TSN
146092209,2022-07-18 00:00:00,1,36 индекс/оборудование доп. 32 (мониторинг Июль 2022),1,,50130650.0,50130650.0,TSN
146092190,2022-07-14 00:00:00,1,Сборник ТСН-2001.1,0,,50121603.0,50121603.0,TSN
146091686,2022-07-12 00:00:00,1,Сборник ТСН-2001.13,0,,50130650.0,50130650.0,TSN
50130650,2022-06-20 00:00:00,1,35 индекс/оборудование доп. 32 (мониторинг Июнь 2022),1,,50121604.0,50084566.0,TSN
50125138,2022-06-20 00:00:00,1,189 индекс/дополнение 64 (мониторинг Июнь 2022),1,,50084566.0,50084566.0,TSN
50121604,2022-05-30 00:00:00,1,Оборудование (Глава 13-2)/дополнение 32,0,,49837015.0,49837015.0,TSN
50121603,2022-05-30 00:00:00,1,Дополнение 65,0,,50084566.0,49837018.0,TSN
50084566,2022-05-19 00:00:00,1,188 индекс/дополнение 64 (мониторинг Май 2022),1,,49960901.0,49960901.0,TSN
50079050,2022-05-18 00:00:00,1,34 индекс/оборудование доп. 31 (мониторинг Май 2022),1,,49960903.0,49960903.0,TSN
49960903,2022-04-18 00:00:00,1,33 индекс/оборудование доп. 31 (мониторинг Апрель 2022),1,,49837015.0,49837015.0,TSN
49960901,2022-04-18 00:00:00,1,187 индекс/дополнение 64 (мониторинг Март-Апрель 2022),1,,49837018.0,49851598.0,TSN
49851598,2022-03-17 00:00:00,1,186 индекс/дополнение 63 (мониторинг Февраль 2022),1,,49787258.0,49787258.0,TSN
49837018,2022-03-03 00:00:00,1,Дополнение 64,0,,49782483.0,49782483.0,TSN
49837015,2022-02-28 00:00:00,1,Оборудование (Глава 13-2)/дополнение 31,0,,49309575.0,49309575.0,TSN
